	pid	ptlon	ptlat	tfl	insl	insw	x_rti	az	lort	llon1	llat1	stcr_l	rlon1	rlat1	stcr_r	llon2	llat2	rlon2	rlat2	vhalf	obsaz	predaz_morvel	predaz_tf	sigc	bias
UNN	1.0	171.27	-63.36	64.4	50	2	28.2	146	1	170.965	-63.146	1	171.686	-63.627	1	169.4003906	-63.4936896	173.0390625	-63.22570996	23.8	-56	-54.31	-55.42	1.32	-0.31
Pitman 	1.0	-170.78	-64.55	66.8	52	4	30.5	138	1	-171.190	-64.340	1	189.738	-64.789	1	184.8164063	-65.68000136	192.8847656	-63.27318217	27.6	-48	-47.51	-48	2.54	-0.80
Saint_Exupery 	1.0	-155.47	-62.25	46.6	40	4	23.5	127	1	204.188	-62.112	1	204.891	-62.374	1	202.6757813	-63.090781	208.7226563	-59.47187274	31.8	-37	-38.23	-38.45	3.30	-1.22
Le_Geographe 	1.0	-147.48	-57.63	67.3	55	4	33.5	122	1	212.045	-57.469	1	212.994	-57.798	1	209.6367188	-59.76524758	215.1738281	-55.64783887	35.5	-32	-31.95	-32.11	2.40	-0.93
Tharp 	1.0	-131.44	-54.52	464.5	280	12	213.5	113	1	-134.480	-53.800	1	-127.790	-55.360	1	224.8154297	-54.67891275	-127.45	-54.85	39.3	-23	-23.89	-23.78	1.42	-0.04
Heezen_1	1.0	-125.15	-55.31	387.2	250	8	155.1	111	1	-127.450	-54.850	1	-121.620	-56.000	1	-127.79	-55.36	239.2822266	-54.20358071	39.5	-21	-21.34	-21.09	1.06	-0.07
Heezen_2	1.0	-122.45	-55.85	391.7	75	6	337.3	109	1	-127.450	-54.850	1	-121.620	-56.000	1	-127.79	-55.36	239.2822266	-54.20358071	39.5	-19	-20.25	-19.94	2.64	-0.21
Raitt_1	1.0	-120.1	-54.34	85.1	75	3	42.9	110	1	239.282	-54.204	1	240.513	-54.470	2	-121.62	-56	240.5830078	-54.36775852	40.4	-20	-18.84	-18.51	1.32	-0.30
Raitt_2	1.0	-119.03	-54.45	63.6	48	2	26.7	108	1	240.583	-54.368	1	-118.490	-54.560	2	240.5126953	-54.47003761	242.3056641	-53.07818755	40.5	-18	-18.38	-18.03	1.38	-0.14
Menard 	1.0	-115.22	-49.58	205.3	120	6	103.9	105	1	-116.610	-49.340	2	-113.860	-49.820	2	-118.39	-52.97	-110.78	-35.53	42.8	-15	-15.85	-15.49	1.65	-0.52
